,amount,start_id,end_id
0,529053.9584798819,BL01,BL01
1,1523295.9695276443,BL01,BL02
2,1288299.9056992454,BL01,BL03
3,2434376.2272452605,BL01,BL04
4,2084335.497525098,BL01,BL05
5,4609127.21138289,BL01,BL06
6,9440461.199630076,BL01,BL07
7,3191586.0962839504,BL01,BL08
8,1210480.599634404,BL01,BL09
9,2279508.6508839633,BL01,BL10
10,4199666.160124092,BL01,BL11
11,5298109.431655877,BL01,BL12
12,843120.4336830096,BL01,BL13
13,1053854.0421834628,BL01,BL14
14,1576937.0568280763,BL01,BL15
15,1333428.5563138137,BL01,BL16
16,772661.4710822477,BL01,BL17
17,2292020.9842355377,BL01,BL18
18,468105.0725256042,BL01,BL19
19,425427.1545078369,BL01,BL20
20,347780.9402481617,BL01,BL21
21,358865.94028184505,BL01,BL22
22,807698.0567829558,BL01,BL23
23,310577.5973494414,BL01,BR01
24,69698.2104952849,BL01,BR02
25,38113.98236373473,BL01,BR03
26,159591.49706292182,BL01,BR04
27,47694.11123742113,BL01,BR05
28,84780.32618143075,BL01,BR06
29,202329.95953840477,BL01,BR07
30,252783.43143054427,BL01,BR08
31,259345.28249665658,BL01,BR09
32,669939.7772814756,BL01,BR11
33,329196.3834932601,BL01,BR12
34,193981.4727605653,BL01,BR13
35,162550.49922266355,BL01,BR14
36,287692.12195264414,BL01,BR15
37,236722.84583680943,BL01,BR16
38,187394.80011865293,BL01,BR17
39,93921.78085333906,BL01,BR18
40,141957.84420894075,BL01,BR19
41,72581.64042795863,BL01,BR20
42,93687.5642734195,BL01,BR21
43,123094.28466914372,BL01,BR22
44,64324.411895883786,BL01,BR23
45,219977.22394446004,BL01,G01
46,130937.0655337079,BL01,G02
47,214465.8047390886,BL01,G03
48,60812.27508273925,BL01,G03A
49,318865.7066567718,BL01,G04
50,248134.3000150969,BL01,G05
51,134688.99938825567,BL01,G06
52,657308.1433781408,BL01,G07
53,377969.74309828726,BL01,G08
54,506806.78778017114,BL01,G09
55,641436.8276652943,BL01,G10
56,145478.39599542576,BL01,G11
57,334322.7022958481,BL01,G13
58,994805.1626068206,BL01,G14
59,609620.0247554301,BL01,G15
60,616297.1397965155,BL01,G17
61,510214.6330215187,BL01,G18
62,420611.5295145802,BL01,G19
63,237484.06085371284,BL01,O01
64,142961.80777000525,BL01,O02
65,244243.95864371237,BL01,O03
66,391906.5496706492,BL01,O04
67,358029.55614501465,BL01,O06
68,527016.6213177991,BL01,O09
69,364214.9762112883,BL01,O10
70,597149.0801111725,BL01,O11
71,145556.80167453436,BL01,O12
72,148861.9869714786,BL01,O13
73,100952.55533195571,BL01,O14
74,84075.81526405421,BL01,O15
75,52056.07712687939,BL01,O16
76,42751.13462856154,BL01,O17
77,63661.21921839064,BL01,O18
78,59098.45887518363,BL01,O19
79,46973.90656524818,BL01,O20
80,56114.798246488186,BL01,O21
81,177266.49354223476,BL01,OO50
82,156871.25149192294,BL01,OO51
83,208680.04146906544,BL01,OO52
84,158278.87015065624,BL01,OO53
85,163228.15337811242,BL01,OO54
86,141098.0794249075,BL01,R02
87,718567.2376491711,BL01,R03
88,230150.5275348744,BL01,R04
89,227863.99903169312,BL01,R06
90,264662.01668251376,BL01,R09
91,498158.93270397815,BL01,R12
92,503448.87689152104,BL01,R14
93,600921.1076798072,BL01,R15
94,502235.1306986953,BL01,R16
95,349941.5540787673,BL01,R17
96,138967.88978379546,BL01,R18
97,414253.41875930503,BL01,R19
98,79222.56522826462,BL01,R20
99,105332.23210087576,BL01,R21
100,189463.4109879827,BL01,R22
101,126376.64437134344,BL01,R22A
102,52370.53549486333,BL01,R23
103,50675.40997000132,BL01,R24
104,132889.69228965626,BL01,R25
105,97432.3878166561,BL01,R26
106,80505.11362185203,BL01,R27
107,938595.0789096358,BL01,R28
108,1722504.7223697028,BL02,BL01
109,655137.6547376596,BL02,BL02
110,1286965.216410152,BL02,BL03
111,4157078.702254138,BL02,BL04
112,3120718.063934403,BL02,BL05
113,5282844.077673712,BL02,BL06
114,10907584.629793264,BL02,BL07
115,5875347.079357841,BL02,BL08
116,2230469.2372319303,BL02,BL09
117,3960643.081550076,BL02,BL10
118,7147848.359494796,BL02,BL11
119,9164947.67068071,BL02,BL12
120,1608604.0027185257,BL02,BL13
121,2336430.127009826,BL02,BL14
122,3265156.8722615577,BL02,BL15
123,2137498.4923015554,BL02,BL16
124,1491725.350020106,BL02,BL17
125,3957157.692308185,BL02,BL18
126,907713.3263932472,BL02,BL19
127,795364.9404767313,BL02,BL20
128,719130.8966247339,BL02,BL21
129,638826.618763712,BL02,BL22
130,1318952.3302446576,BL02,BL23
131,584132.616289817,BL02,BR01
132,131645.17737451114,BL02,BR02
133,65387.37576947444,BL02,BR03
134,343584.95030951215,BL02,BR04
135,80950.09983605854,BL02,BR05
136,154888.2886336078,BL02,BR06
137,331338.06188511103,BL02,BR07
138,448797.2745736374,BL02,BR08
139,457600.83908034064,BL02,BR09
140,1217235.7710747775,BL02,BR11
141,597439.9602764688,BL02,BR12
142,339548.3879836452,BL02,BR13
143,335235.2686331691,BL02,BR14
144,464966.214889857,BL02,BR15
145,397288.67934765044,BL02,BR16
146,339198.0348389523,BL02,BR17
147,160830.31079237425,BL02,BR18
148,257356.79631053424,BL02,BR19
149,117091.56924281233,BL02,BR20
150,160683.7662254562,BL02,BR21
151,233296.63684436114,BL02,BR22
152,78608.59237861398,BL02,BR23
153,369151.09800177737,BL02,G01
154,256830.27851224085,BL02,G02
155,332249.8136474432,BL02,G03
156,74397.3692068386,BL02,G03A
157,502929.4080826343,BL02,G04
158,523734.5024028885,BL02,G05
159,294868.7304786388,BL02,G06
160,1371782.3678437632,BL02,G07
161,764865.1285521504,BL02,G08
162,992604.9394892633,BL02,G09
163,1243904.483526257,BL02,G10
164,312479.1104747886,BL02,G11
165,600459.6790501248,BL02,G13
166,1712693.6295916708,BL02,G14
167,1194064.568062708,BL02,G15
168,1091399.2078654103,BL02,G17
169,1001862.0574730017,BL02,G18
170,607678.7774755094,BL02,G19
171,397968.0869872077,BL02,O01
172,282576.5388197449,BL02,O02
173,490855.6899418524,BL02,O03
174,710672.8322566577,BL02,O04
175,631851.5299477504,BL02,O06
176,1102891.8160625084,BL02,O09
177,534605.578897226,BL02,O10
178,730360.1464270337,BL02,O11
179,249853.8834987189,BL02,O12
180,242280.07984204392,BL02,O13
181,189562.71319846564,BL02,O14
182,107532.27801205077,BL02,O15
183,55649.262952416604,BL02,O16
184,51440.01797676631,BL02,O17
185,91673.57038307373,BL02,O18
186,76917.43395079681,BL02,O19
187,69572.95996069844,BL02,O20
188,64140.91547778617,BL02,O21
189,305919.5201951235,BL02,OO50
190,311042.16175505234,BL02,OO51
191,343985.2796650531,BL02,OO52
192,304810.82908316806,BL02,OO53
193,284385.89987066935,BL02,OO54
194,263390.42434230016,BL02,R02
195,1353360.7150677158,BL02,R03
196,420261.1340733905,BL02,R04
197,410275.7188714762,BL02,R06
198,531988.6185588092,BL02,R09
199,906914.7547240454,BL02,R12
200,915424.1241894704,BL02,R14
201,1222500.3023531782,BL02,R15
202,1144042.692603197,BL02,R16
203,777368.3342078058,BL02,R17
204,314943.22234437615,BL02,R18
205,937041.6452495977,BL02,R19
206,162822.9731902719,BL02,R20
207,184609.711809868,BL02,R21
208,438285.9034739191,BL02,R22
209,261184.75506318756,BL02,R22A
210,95472.78157863527,BL02,R23
211,78307.80219891213,BL02,R24
212,277883.3395915746,BL02,R25
213,197942.42421333652,BL02,R26
214,157399.94753162336,BL02,R27
215,1717672.252295129,BL02,R28
216,1366996.1693592207,BL03,BL01
217,1341134.7548130306,BL03,BL02
218,418625.5826822031,BL03,BL03
219,1932719.9766840136,BL03,BL04
220,1749641.6485981178,BL03,BL05
221,4151397.51025816,BL03,BL06
222,8196399.160282586,BL03,BL07
223,2883882.986837227,BL03,BL08
224,1199151.5010552406,BL03,BL09
225,2103780.97788944,BL03,BL10
226,3820880.8921583486,BL03,BL11
227,4813033.553519761,BL03,BL12
228,850170.3907187287,BL03,BL13
229,1154430.1541628013,BL03,BL14
230,1773085.8673457562,BL03,BL15
231,1434309.1331059344,BL03,BL16
232,793714.0839871174,BL03,BL17
233,2392873.9909811188,BL03,BL18
234,562610.6709098998,BL03,BL19
235,436219.3150973548,BL03,BL20
236,373086.1635238417,BL03,BL21
237,330246.4525216689,BL03,BL22
238,656959.784862747,BL03,BL23
239,282480.68849462457,BL03,BR01
240,72431.2908815325,BL03,BR02
241,49403.22414124653,BL03,BR03
242,157013.3784356879,BL03,BR04
243,54482.56336727531,BL03,BR05
244,81630.99595030263,BL03,BR06
245,195602.8600584655,BL03,BR07
246,268403.99858856463,BL03,BR08
247,301877.22744994843,BL03,BR09
248,691037.9359674278,BL03,BR11
249,258424.45113478453,BL03,BR12
250,188622.55181630937,BL03,BR13
251,155137.20919185787,BL03,BR14
252,295834.432420999,BL03,BR15
253,217181.74137368824,BL03,BR16
254,180716.10744934314,BL03,BR17
255,76597.37332356248,BL03,BR18
256,129828.97633089028,BL03,BR19
257,85952.63695053312,BL03,BR20
258,94298.52781312959,BL03,BR21
259,116027.22213579979,BL03,BR22
260,65241.292617805084,BL03,BR23
261,234567.30095657916,BL03,G01
262,152283.4801317027,BL03,G02
263,190722.63577542608,BL03,G03
264,56735.41608595267,BL03,G03A
265,268434.15845935524,BL03,G04
266,248129.09191234768,BL03,G05
267,139188.27154757563,BL03,G06
268,680847.9626447251,BL03,G07
269,375688.21083190606,BL03,G08
270,457542.8461330856,BL03,G09
271,596277.2085353225,BL03,G10
272,168846.5625654744,BL03,G11
273,346031.63414737384,BL03,G13
274,1063119.677322633,BL03,G14
275,614898.9239625344,BL03,G15
276,621092.8099092869,BL03,G17
277,505816.2188156062,BL03,G18
278,398163.43928061484,BL03,G19
279,188884.23195845858,BL03,O01
280,117043.98230469794,BL03,O02
281,218298.68870835958,BL03,O03
282,310712.3255724084,BL03,O04
283,339032.6685728725,BL03,O06
284,613635.6144791894,BL03,O09
285,305324.0525416914,BL03,O10
286,360771.49651050806,BL03,O11
287,148395.56959254137,BL03,O12
288,146463.3710715874,BL03,O13
289,108919.99039477871,BL03,O14
290,75419.00267979769,BL03,O15
291,43021.181282237936,BL03,O16
292,47206.41612105846,BL03,O17
293,61931.36355619434,BL03,O18
294,47414.116905749135,BL03,O19
295,46336.83838790605,BL03,O20
296,43469.71320101896,BL03,O21
297,154529.19105214588,BL03,OO50
298,163154.48914195714,BL03,OO51
299,160072.44403332585,BL03,OO52
300,148630.55467535852,BL03,OO53
301,141810.99228215852,BL03,OO54
302,148709.53864881356,BL03,R02
303,772085.462344462,BL03,R03
304,253003.37038381593,BL03,R04
305,244190.74483021232,BL03,R06
306,326863.37819798576,BL03,R09
307,504094.70795914164,BL03,R12
308,523935.9444763907,BL03,R14
309,618866.2703388301,BL03,R15
310,539061.8349510683,BL03,R16
311,397221.1999032368,BL03,R17
312,139531.60366948927,BL03,R18
313,385791.2646972401,BL03,R19
314,76848.77053413934,BL03,R20
315,101943.63568419116,BL03,R21
316,195047.25661570518,BL03,R22
317,150084.7020830178,BL03,R22A
318,59491.953415766104,BL03,R23
319,60024.04961998477,BL03,R24
320,141587.48851617012,BL03,R25
321,109709.52159231769,BL03,R26
322,93054.25773777207,BL03,R27
323,897565.1144456639,BL03,R28
324,2579499.9203327885,BL04,BL01
325,4179292.0775091886,BL04,BL02
326,2044861.9838022336,BL04,BL03
327,1195517.7520839623,BL04,BL04
328,3870328.5651879646,BL04,BL05
329,10133573.804346025,BL04,BL06
330,24210063.283866573,BL04,BL07
331,7556894.323954649,BL04,BL08
332,3180268.300879823,BL04,BL09
333,4784337.435141019,BL04,BL10
334,11347322.34561999,BL04,BL11
335,13748945.839698065,BL04,BL12
336,2505988.345219835,BL04,BL13
337,3591861.912131235,BL04,BL14
338,5379399.5145232575,BL04,BL15
